Име,Име на англиски,Религија на која припаѓа објектот,Веб страна,Работно време,Телефон,Емаил,Ид,Лат,Лон
Црква Рождество на Пресвета Богородица и Света Петка,null,Христијанство,null,null,null,null,8951302848,41.1110018,20.7889594,
Димче Кошаркоски,null,null,null,null,null,null,5551392392,41.1749451,20.6779833,
Коста Абраш,null,null,null,null,null,null,6833101185,41.1120953,20.795694,
Св.Илија,St.Ilija,Христијанство,null,null,null,null,4356214629,41.1083525,21.0102717,
Saint Joachim Osogovski,null,Христијанство,null,null,null,null,9241913498,42.2089207,22.3621503,
Св. Ѓорги,St. Georgi,Христијанство,null,null,null,null,3704816792,41.9414253,22.7930159,
Св. Кирил и Методиј,Saints Cyril and Methodius,null,null,null,null,null,4128156209,42.0664938,21.0276019,
Sv. Mina,null,Христијанство,null,null,null,null,3011061689,41.052788,20.8128079,
Ботун,null,null,null,null,null,null,4745413067,41.2788101,20.7836677,
Карпалак 2001,null,null,null,null,null,null,3456913802,41.3434323,21.5479723,
Споменик „Солунски атентатори и Гемиџии“,null,null,null,null,null,null,10913797906,41.9964125,21.4328484,
Крст,null,Христијанство,null,null,null,null,4332828390,41.9779014,21.4642214,
Споменик на Никола Карев,Monument to Nikola Karev,null,null,null,null,null,7947878810,41.9156602,22.412778,
Куќа на Робевци,Robev Family House,null,http://muzejohrid.mk/en/house-of-robev-family,Tu-Su 09:00-14:00,null,null,534925163,41.112361,20.7961416,
Manastir Sveta petka,null,Христијанство,null,null,null,null,3660971795,41.0518754,21.1673647,
Џамија - Султан Фатих Мехмет II,Sultan Fatih Mehmet II - Mosque,Ислам,null,null,null,null,3695758775,41.965457,22.7692342,
Споменик на паднати борци во НОБ,null,null,null,null,null,null,3695770497,41.9653801,22.7716387,
Браќата Просветители Св. Кирил и Методиј,null,null,null,null,null,null,9661472617,41.9135927,22.4105061,
Питу Гули,null,null,null,null,null,null,367853384,41.9936737,21.433319,
Леонид Јанков,null,null,null,null,null,null,4078676807,41.139367,22.5093733,
Пеце Атанасоски,null,null,null,null,null,null,2189840898,41.3451518,21.554267,
Zebrnjak,null,null,null,null,null,null,2616082758,42.1491368,21.7853235,
Црква „Свети Илија„,Church of St. Elijah,Христијанство,null,null,null,null,5469804185,41.1827523,20.7990502,
Св. Богородица,Sv. Bogodorica,Христијанство,null,null,null,null,513836478,41.4091983,22.2367525,
Св. Ѓорѓи,null,Христијанство,null,null,null,null,5931017315,41.5363785,20.6936768,
